usages,parent,amount,key,subtotal,categories
4,80003,1.46,10008,,[u'Gas Affordability']
4,80003,81.59,10009,,[u'other']
1,80004,28.72,10001,,[u'other']
1,80005,69.56,10001,,[u'SCE Delivery Charge-Energy']
1,80005,77.37,10002,,[u'Wholesale Energy Cost']
1,80005,30.0,10003,,[u'other']
1,80006,15.0,10001,,[u'Water Service Base Fee']
1,80006,7.55,10002,,[u'Recovery Fee']
1,80006,4.58,10003,,[u'Water Usage Charge']
1,80006,8.8,10004,,[u'Sanitary Sewer']
1,80007,7.8,10001,,[u'trash removal']
1,80007,25.0,10002,,[u'pick up']
2,80007,9.6,10003,,[u'trash removal']
2,80007,25.0,10004,,[u'pick up']
1;2,80007,20.13,10005,87.53,[u'other']
1,80008,0.09,10001,,[u'Renewable Adjustment']
1,80008,0.02,10002,,[u'Transmission Adjustment']
1,80008,17.14,10003,17.25,[u'other']
2,80008,219.98,10004,,[u'Energy Charge']
2,80008,1.37,10005,,[u'Transmission ADjustment']
2,80008,6.2,10006,,[u'Renewable Adjustment']
3,80008,199.24,10007,,[u'Demand Charge']
2;3,80008,78.76,10008,,[u'other']
1,80009,1.79,10001,,[u'Energy Charge']
1,80009,-0.03,10002,,[u'Purchased Power Adjustment']
1,80009,12.5,10003,14.26,[u'other']
1,80010,22.85,10001,,[u'Energy Charge']
1,80010,-0.33,10002,,[u'Purchased Power Adjustment']
1,80010,12.5,10003,35.02,[u'other']
1,90001,186.85,10001,,[u'Energy Charge']
1,90001,197.78,10002,,[u'Fuel Cost Charge']
2,90001,191.82,10003,,[u'Demand Charge Witner']
1;2,90001,159.92,10004,736.37,[u'other']
1,90002,48.1,10001,,[u'Energy Charge']
1,90002,47.96,10002,,[u'Fuel Cost Charge']
2,90002,102.34,10003,,[u'Demand Charge Summer']
3,90002,21.43,10004,,[u'Demand Charge Winter']
1;2;3,90002,60.32,10005,280.15,[u'other']
1,90003,229.31,10001,,[u'Energy Charge']
2,90003,522.02,10002,,[u'Demand Charge Summer']
1,90003,246.71,10003,,[u'Fuel Cost Charge']
1;2,90003,162.84,10004,1160.88,[u'other']
1,90004,10.45,10001,,[u'Energy Charge Summer']
1,90004,4.28,10002,,[u'Fuel Cost Charge']
1,90004,12.31,10003,27.04,[u'other']
1,90005,178.92,10001,,[u'Energy Charge']
2,90005,249.84,10002,,[u'Demand Charge Summer']
3,90005,70.22,10003,,[u'Demand Charge Winter']
1,90005,207.48,10004,,[u'Fuel Cost Charge']
1;2;3,90005,167.26,10005,873.72,[u'other']
4,90005,11.67,10006,,[u'Auto Protective Lgt']
4,90005,3.75,10007,,[u'other']
1,90006,39.54,10001,,[u'rel']
1,90006,38.7,10002,78.24,[u'other']
1,90007,36.67,10001,,[u'rel']
1,90007,24.61,10002,61.28,[u'other']
1,90008,198.2,10001,,[u'Energy Charge']
1,90008,9.16,10002,,[u'Energy Charge']
1,90008,12.5,10003,,[u'other']
1,100001,452.96,10001,,[u'Energy Charge']
1,100001,479.48,10002,,[u'Fuel Cost Charge']
2,100001,358.62,10003,,[u'Demand Charge Winter']
1;2,100001,268.94,10004,1560.0,[u'other']
3,100001,201.97,10005,,[u'Distribution Charge']
3,100001,763.1,10006,,[u'Cost of Gas']
3,100001,6.56,10007,,[u'Gas Affordability']
3,100001,179.84,10008,,[u'other']
1,100002,2123.25,10001,,[u'Energy Charge']
1,100002,2191.27,10002,,[u'Fuel Cost Charge']
2,100002,1943.22,10003,,[u'Demand Charge Winter']
1;2,100002,1175.15,10004,7432.89,[u'other']
1,100003,69.56,10001,,[u'SCE Delivery Charge-Energy']
1,100003,93.3,10002,,[u'Wholesale Energy Cost']
1,100003,30.0,10003,,[u'other']
1,100004,7.55,10001,,[u'Recovery Fee']
1,100004,15.0,10002,,[u'Water Service Base Fee']
1,100004,4.68,10003,,[u'Water Usage Fee']
1,100004,8.8,10004,,[u'Sanitary Sewer']
1,100005,18.08,10001,,[u'General Single Phae']
1,100005,0.48,10002,,[u'Minnkota Surcharge']
1,100005,52.72,10003,71.28,[u'other']
1,100006,35.0,10001,,[u'Dumpster Fee']
1,110001,0.07,3,,[u'Renewable Adjustment']
1,110001,0.01,4,,[u'Transmission Adjustment']
1,110001,17.0,5,17.08,[u'other']
2,110001,91.92,6,,[u'Energy Charge']
2,110001,1.75,7,,[u'Renewable Adjustment']
2,110001,0.39,8,,[u'Transmission Adjustment']
2,110001,35.27,9,,[u'other']
1,110002,50.5,3,,[u'On-call Dumpster']
2,110002,30.0,4,,[u'Dumpster Rental']
1;2,110002,13.69,5,94.19,[u'other']
1,120001,0.45,10001,,[u'Energy Charge']
1,120001,-0.01,10002,,[u'Purchased Power Adjustment']
1,120001,12.5,10003,,[u'other']
1,120002,68.01,10001,,[u'Energy Charge']
1,120002,1.33,10002,,[u'Purchased Power Adjustment']
1,120002,12.5,10003,,[u'other']
1,120003,30.0,10001,,[u'other']
1,120004,434.02,10001,,[u'Fuel Cost']
1,120004,96.32,10002,,[u'Delivery Charge']
1,120004,-3.9,10003,,[u'Decoupling Adjustment']
1,120004,3.37,10004,,[u'Gas Affordability']
1,120004,23.68,10005,,[u'Interim Rate Adjustment']
1,120004,43.0,10006,596.49,[u'other']
1,120005,403.35,10001,,[u'Fuel Cost']
1,120005,79.04,10002,,[u'Delivery Charge']
1,120005,1.37,10003,,[u'Decoupling Adjustment']
1,120005,2.24,10004,,[u'Gas Affordabiltiy']
1,120005,15.52,10005,,[u'Interim Rate Adjustment']
1,120005,12.0,10006,,[u'other']
1,120006,114.27,10001,,[u'Delivery Charge']
1,120006,-10.78,10002,,[u'Decoupling Adjustment']
1,120006,3.99,10003,,[u'Gas Affordability']
1,120006,369.67,10004,,[u'Fuel Cost']
1,120006,27.7,10005,,[u'Interim Rate Adjustment']
1,120006,43.0,10006,,[u'other']
2,120006,28.5,10007,,[u'Delivery Charge']
2,120006,-1.87,10008,,[u'Decoupling Adjustment']
2,120006,0.93,10009,,[u'Gas Affordability']
2,120006,85.07,10010,,[u'Fuel Cost']
2,120006,6.94,10011,,[u'Interim Rate Adjustment']
2,120006,18.0,10012,,[u'other']
1,130001,112.27,10001,,[u'Energy Charge']
1,130001,2.81,10002,,[u'Purchased Power Adjustment']
1,130001,12.5,10003,,[u'other']
1,130002,8.15,10001,,[u'Energy Charge']
1,130002,0.21,10002,,[u'Purchased Power Adjustment']
1,130002,12.5,10003,,[u'other']
1,130003,687.4,10001,,[u'Energy Charge']
1,130003,36.81,10002,,[u'Purchased Power Adjustment']
2,130003,772.59,10003,,[u'Demand Charge']
3,130003,10.05,10004,,[u'Security Light']
1;2;3,130003,47.97,10005,,[u'other']
1,130004,4.95,10001,,[u'Energy Charge']
1,130004,30.0,10002,,[u'other']
1,130005,713.9,10001,,[u'Energy Charge']
1,130005,59.0,10002,,[u'other']
3,140001,10.05,10001,,[u'Security Light']
1,140001,541.18,10002,,[u'Energy Charge']
1,140001,27.99,10003,,[u'Purchased Power Adjustment']
2,140001,728.71,10004,,[u'Demand Charge']
1;2;3,140001,47.97,10005,,[u'other']
1,140002,25.0,10001,,[u'Pickup']
2,140002,8.4,10002,,[u'Trash Removal']
1;2,140002,3.67,10003,,[u'other']
1,150001,537.9,10001,,[u'Energy Charge']
1,150001,21.54,10002,,[u'Purchased Power Adjustment']
2,150001,707.48,10003,,[u'Demand Charge']
3,150001,10.05,10004,,[u'Security Light']
1;2;3,150001,47.97,10005,,[u'other']
1,160001,30.0,10001,,[u'other']
1,160002,5.05,10001,,[u'Energy Charge']
1,160002,30.0,10002,,[u'other']
1,160003,1.13,10001,,[u'Delivery Charge']
1,160003,0.06,10002,,[u'Decoupling Adjustment']
1,160003,0.03,10003,,[u'Gas Affordability']
1,160003,3.1,10004,,[u'Fuel Cost']
1,160003,17.0,10005,,[u'other']
1,170001,25.0,10001,,[u'Pick Up']
2,170001,140.0,10002,,[u'Pick Up']
1;2,170001,49.289,10003,214.29,[u'other']
1,170002,1.11,10001,,[u'Energy Charge']
1,170002,0.89,10002,,[u'Round Up Amount']
1,170002,30.0,10003,,[u'other']
1,170003,980.49,10001,,[u'Energy Charge']
2,170003,449.36,10002,,[u'Demand Charge']
1,170003,169.2,10003,,[u'Power Cost Adjustment']
1;2,170003,37.5,10004,,[u'other']
1,170004,151.45,10001,,[u'Energy Charge']
1,170004,21.32,10002,,[u'Power Cost Adjustment']
1,170004,30.0,10003,,[u'other']
1,170005,187.14,10001,,[u'Energy Charge']
1,170005,23.28,10002,,[u'Power Cost Adjustment']
1,170005,30.0,10003,,[u'other']
1,180001,4.14,10001,,[u'Energy Charge']
1,180001,30.0,10002,,[u'other']
1,180002,1.82,10001,,[u'Energy Charge']
1,180002,30.0,10002,,[u'other']
1,180002,0.18,10003,,[u'Round Up Amount']
1,180003,676.56,10001,,[u'Energy Charge']
2,180003,305.21,10002,,[u'Demand Charge']
1,180003,101.4,10003,,[u'Power Cost Adjustment']
1;2,180003,37.5,10004,,[u'other']
1,180004,74.35,10001,,[u'Delivery Charge']
1,180004,-6.86,10002,,[u'Decoupling Adjustment']
1,180004,2.42,10003,,[u'Gas Affordability']
1,180004,316.91,10004,,[u'Fuel Cost']
1,180004,16.68,10005,,[u'Interim Rate Adjustment']
1,180004,18.0,10006,,[u'other']
1,180005,336.87,10001,,[u'Delivery Charge']
1,180005,-30.14,10002,,[u'Decoupling Adjustment']
1,180005,11.16,10003,,[u'Gas Affordability']
1,180005,1017.04,10004,,[u'Fuel Cost']
1,180005,8.1,10005,,[u'Interim Rate Adjustment']
1,180005,43.0,10006,,[u'other']
1,190001,25.0,10001,,[u'Pick Up']
1,190001,7.47,10002,,[u'other']
1,190002,30.0,2,,[u'other']
1,190003,100.94,10001,,[u'Energy Charge']
1,190003,13.75,10002,,[u'Power Cost Adjustment']
2,190003,9.31,10003,,[u'Lighting']
2,190003,0.67,10004,,[u'Power Cost Adjustment']
1;2,190003,36.5,10005,161.17,[u'other']
1,190004,152.03,10001,,[u'Energy Charge']
1,190004,13.65,10002,,[u'Power Cost Adjustment']
1,190004,13.35,10003,179.03,[u'other']
1,190005,150.29,10001,,[u'Energy Charge']
1;2,190005,12.69,10002,,[u'Power Cost Adjustment']
2,190005,9.31,10003,,[u'Lighting']
1;2,190005,9.5,10004,181.79,[u'other']
1,200001,19.82,10001,,[u'Energy Charge']
1,200001,2.79,10002,,[u'Power Cost Adjustment']
1,200001,30.0,10003,,[u'other']
1,200002,27.8,10001,,[u'Energy Charge']
1,200002,2.27,10002,,[u'Power Cost Adjustment']
1,200002,-204.93,10003,,[u'Cash Back']
1,200002,11.35,10004,-163.51,[u'other']
1,200003,3519.0,10001,,[u'Fuel Cost']
1,200003,9.81,10002,3528.81,[u'other']
1,200004,167.29,10001,,[u'Fuel Cost']
1,200004,45.85,10002,,[u'Delivery Charge']
1,200004,-1.86,10003,,[u'Decoupling Adjustment']
1,200004,1.6,10004,,[u'Gas Affordability']
1,200004,12.37,10005,,[u'Interim Rate Adjustment']
1,200004,43.0,10006,268.25,[u'other']
1,200005,1.13,10001,,[u'Delivery Charge']
1,200005,0.06,10002,,[u'Decoupling Adjustment']
1,200005,0.03,10003,,[u'Gas Affordability']
1,210001,12.0,10001,,[u'other']
1,210002,142.8,10001,,[u'Basic Service']
1,210002,184.13,10002,326.93,[u'other']
1,210003,39.54,10001,,[u'Dumpster Service']
1,210003,15.42,10002,78.05,[u'Fuel/Environmental Charge']
1,210003,4.0,10003,,[u'Administrative Fee']
1,210003,11.34,10004,,[u'other']
1,210003,7.75,10005,,[u'Container Service']
1,210004,4.95,10001,,[u'Energy Charge']
1,210004,30.0,10002,,[u'Basic fee']
1,220001,5.18,10001,,[u'Delivery Charge']
1,220001,-0.46,10002,,[u'Decoupling Adjustment']
1,220001,0.17,10003,,[u'Gas Affordability']
1,220001,17.77,10004,,[u'Fuel Cost']
1,220001,43.0,10005,,[u'other']
2,220001,18.0,10006,,[u'other']
1,220002,142.88,10001,,[u'Standard Trash']
1,220002,7.0,10002,,[u'Admin Fee Trash']
1,220002,22.52,10003,,[u'Fuel Fee']
1,220002,14.29,10004,,[u'Environmental Fee']
1,220002,104.92,10005,291.61,[u'other']
1,220003,11.61,10001,,[u'Equipment Use']
1,220003,110.16,10002,,[u'Standard Trash']
2,220003,19.81,10003,,[u'Fuel/Environmental Fee']
1,220003,2.95,10004,,[u'Admin Fee']
1;2,220003,101.17,10005,245.7,[u'other']
1,220004,39.54,10001,,[u'Dumpster Service']
1,220004,7.75,10002,78.05,[u'Container Service Fee']
1,220004,15.42,10003,,[u'Fuel/Environmental Charge']
1,220004,4.0,10004,,[u'Administrative Fee']
1,220004,11.34,10005,,[u'other']
1,230001,12.5,10001,,[u'Equipment Use']
1,230001,102.9,10002,,[u'Basic Service']
1,230001,7.0,10003,,[u'Admin Fee']
2,230001,22.04,10004,,[u'Fuel']
2,230001,13.85,10005,,[u'Environmental']
1,230001,22.95,10006,,[u'County Environmental']
1,230001,26.91,10007,,[u'Tax']
1,240001,128.53,10001,,[u'basic service']
1,240001,34.11,10002,,[u'fuel/environmental']
1,240001,86.2,10003,,[u'county environmental']
1,240001,27.64,10004,,[u'tax']
1,240001,4.17,10005,,[u'late fee']
1,240001,1.92,10006,,[u'admin fee']
1,240002,128.53,10001,,[u'basic service']
1,240002,32.1,10002,,[u'fuel/environmental']
1,240002,85.14,10003,,[u'county environmental']
1,240002,27.31,10004,,[u'tax']
1,240002,1.92,10005,,[u'admin fee']
1,240003,43.0,10001,,[u'basic charge']
1,240003,5.19,10002,,[u'delivery']
1,240003,-0.21,10003,,[u'decoupling']
1,240003,0.18,10004,,[u'gas affordability']
1,240003,19.29,10005,,[u'cost of gas']
1,240003,3.26,10006,,[u'interim adjustment']
2,240003,18.0,10007,,[u'basic charge']
2,240003,0.88,10008,,[u'interim adjustment']
1,240004,43.0,10001,,[u'basic charge']
1,240004,274.81,10002,,[u'delivery']
1,240004,-25.93,10003,,[u'decoupling']
1,240004,9.6,10004,,[u'gas affordability']
1,240004,931.71,10005,,[u'cost of gas']
1,240004,63.67,10006,,[u'interim adjustment']
1,240005,43.0,10001,,[u'basic charge']
1,240005,194.91,10002,,[u'delivery']
1,240005,-17.44,10003,,[u'decoupling']
1,240005,6.46,10004,,[u'gas affordability']
1,240005,631.42,10005,,[u'cost of gas']
2,240005,18.0,10006,,[u'basic charge']
2,240005,71.47,10007,,[u'delivery']
2,240005,-4.45,10008,,[u'decoupling']
2,240005,2.21,10009,,[u'gas affordability']
2,240005,214.79,10010,,[u'cost of gas']
1,250001,128.53,10001,,[u'basic service']
1,250001,31.75,10002,,[u'fuel/environmental']
1,250001,84.95,10003,,[u'county environmental']
1,250001,27.24,10004,,[u'tax']
1,250001,1.92,10005,,[u'admin fee']
1,250002,43.0,10001,,[u'basic charge']
1,250002,62.95,10002,,[u'delivery']
1,250002,-2.55,10003,,[u'decoupling']
1,250002,2.2,10004,,[u'gas affordability']
1,250002,245.88,10005,,[u'cost of gas']
1,250002,16.2,10006,,[u'interim adjustment']
1,260001,8.0,10001,,[u'basic charge']
1,260001,0.0,10002,,[u'delivery']
1,260001,0.0,10003,,[u'decoupling']
1,260001,0.0,10004,,[u'gas affordability']
1,260001,0.0,10005,,[u'cost of gas']
1,260001,0.39,10006,,[u'interim adjustment']
1,260001,4.0,10007,,[u'franchise']
1,260002,8.0,10001,,[u'basic charge']
1,260002,66.47,10002,,[u'delivery']
1,260002,0.04,10003,,[u'decoupling']
1,260002,1.8,10004,,[u'gas affordability']
1,260002,181.97,10005,,[u'cost of gas']
1,260002,0.0,10006,,[u'interim adjustment']
1,260002,0.0,10007,,[u'franchise']
1,260003,8.0,10001,,[u'basic charge']
1,260003,13.55,10002,,[u'delivery']
1,260003,0.01,10003,,[u'decoupling']
1,260003,0.37,10004,,[u'gas affordability']
1,260003,36.08,10005,,[u'cost of gas']
1,260003,0.0,10006,,[u'interim adjustment']
1,260003,0.0,10007,,[u'franchise']
1,260004,8.0,10001,,[u'basic charge']
1,260004,73.7,10002,,[u'delivery']
1,260004,0.05,10003,,[u'decoupling']
1,260004,2.0,10004,,[u'gas affordability']
1,260004,196.26,10005,,[u'cost of gas']
1,260004,0.0,10006,,[u'interim adjustment']
1,260004,0.0,10007,,[u'franchise']
1,260005,8.0,10001,,[u'basic charge']
1,260005,21.31,10002,,[u'delivery']
1,260005,-0.32,10003,,[u'decoupling']
1,260005,0.58,10004,,[u'gas affordability']
1,260005,54.04,10005,,[u'cost of gas']
1,260005,0.0,10006,,[u'interim adjustment']
1,260005,0.0,10007,,[u'franchise']
1,260006,8.0,10001,,[u'basic charge']
1,260006,97.72,10002,,[u'delivery']
1,260006,-1.48,10003,,[u'decoupling']
1,260006,2.65,10004,,[u'gas affordability']
1,260006,259.94,10005,,[u'cost of gas']
1,260006,0.0,10006,,[u'interim adjustment']
1,260006,0.0,10007,,[u'franchise']
1,260007,43.0,10001,,[u'basic charge']
1,260007,61.55,10002,,[u'delivery']
1,260007,-2.49,10003,,[u'decoupling']
1,260007,2.15,10004,,[u'gas affordability']
1,260007,239.37,10005,,[u'cost of gas']
1,260007,15.89,10006,,[u'interim adjustment']
1,270001,8.0,10001,,[u'basic charge']
1,270001,0.7,10002,,[u'delivery']
1,270001,-0.01,10003,,[u'decoupling']
1,270001,0.02,10004,,[u'gas affordability']
1,270001,1.54,10005,,[u'cost of gas']
1,270002,15.0,10001,,[u'basic charge']
